run,phase,ts,respAKE_ms
1,warmup,2026-09-07 12:57:08.111,70.2237
2,warmup,2026-09-07 12:57:28.331,9.7596
3,warmup,2026-09-07 12:57:30.434,18.266599999999997
4,warmup,2026-09-07 12:57:32.556,16.5499
5,warmup,2026-09-07 12:57:34.679,13.667
6,warmup,2026-09-07 12:57:36.810,8.0877
7,warmup,2026-09-07 12:57:38.957,16.842299999999998
8,warmup,2026-09-07 12:57:41.084,12.5809
9,warmup,2026-09-07 12:57:43.196,9.9037
10,warmup,2026-09-07 12:57:45.307,7.5013000000000005
11,warmup,2026-09-07 12:57:47.438,13.682
12,warmup,2026-09-07 12:57:49.541,6.701899999999999
13,warmup,2026-09-07 12:57:51.665,14.0197
14,warmup,2026-09-07 12:57:53.775,5.2478
15,warmup,2026-09-07 12:57:55.897,7.8045
16,steady,2026-09-07 12:57:58.016,9.0726
17,steady,2026-09-07 12:58:00.136,4.0935
18,steady,2026-09-07 12:58:02.252,3.8848000000000003
19,steady,2026-09-07 12:58:04.383,5.227399999999999
20,steady,2026-09-07 12:58:06.508,6.4318
21,steady,2026-09-07 12:58:08.636,7.1324
22,steady,2026-09-07 12:58:10.750,9.1325
23,steady,2026-09-07 12:58:12.869,6.918399999999999
24,steady,2026-09-07 12:58:15.009,13.879
25,steady,2026-09-07 12:58:17.143,13.8943
26,steady,2026-09-07 12:58:44.372,7.4416
27,steady,2026-09-07 12:58:46.493,10.299299999999999
28,steady,2026-09-07 12:59:13.594,15.339
29,steady,2026-09-07 12:59:15.715,18.02
30,steady,2026-09-07 12:59:17.837,5.9615
31,steady,2026-09-07 12:59:19.960,7.0476
32,steady,2026-09-07 12:59:22.084,10.1418
33,steady,2026-09-07 12:59:24.225,11.7119
34,steady,2026-09-07 12:59:26.343,7.9195
35,steady,2026-09-07 12:59:28.462,3.287
36,steady,2026-09-07 12:59:30.576,8.9209
37,steady,2026-09-07 12:59:32.695,8.1478
38,steady,2026-09-07 12:59:34.811,10.6896
39,steady,2026-09-07 12:59:36.928,7.0833
40,steady,2026-09-07 12:59:39.057,11.716700000000001
41,steady,2026-09-07 12:59:41.175,8.262
42,steady,2026-09-07 12:59:43.289,8.8371
43,steady,2026-09-07 12:59:45.399,6.268800000000001
44,steady,2026-09-07 12:59:47.509,9.8723
45,steady,2026-09-07 12:59:49.665,23.9465
46,steady,2026-09-07 12:59:51.780,12.3587
47,steady,2026-09-07 12:59:53.888,4.741
48,steady,2026-09-07 12:59:56.003,8.2844
49,steady,2026-09-07 12:59:58.115,6.6965
50,steady,2026-09-07 13:00:00.234,6.9562
51,steady,2026-09-07 13:00:02.359,12.7823
52,steady,2026-09-07 13:00:04.475,16.386400000000002
53,steady,2026-09-07 13:00:06.587,4.470899999999999
54,steady,2026-09-07 13:00:08.716,8.2481
55,steady,2026-09-07 13:00:10.836,6.341
56,steady,2026-09-07 13:00:12.961,12.8604
57,steady,2026-09-07 13:00:15.071,8.508299999999998
58,steady,2026-09-07 13:00:17.213,19.3667
59,steady,2026-09-07 13:00:44.057,9.3775
60,steady,2026-09-07 13:00:46.194,18.3297
61,steady,2026-09-07 13:00:48.303,6.863
62,steady,2026-09-07 13:00:50.435,15.1868
63,steady,2026-09-07 13:00:52.564,13.486
64,steady,2026-09-07 13:00:54.677,9.826600000000001
65,steady,2026-09-07 13:00:56.794,8.5791
66,steady,2026-09-07 13:00:58.913,12.782200000000001
67,steady,2026-09-07 13:01:01.011,6.7664
68,steady,2026-09-07 13:01:03.121,6.2815
69,steady,2026-09-07 13:01:05.240,6.022
70,steady,2026-09-07 13:01:07.385,9.3666
71,steady,2026-09-07 13:01:09.504,10.8189
72,steady,2026-09-07 13:01:11.609,6.414
73,steady,2026-09-07 13:01:13.726,6.7439
74,steady,2026-09-07 13:01:15.849,6.0421000000000005
75,steady,2026-09-07 13:01:17.994,17.9286
76,steady,2026-09-07 13:01:20.100,3.46
77,steady,2026-09-07 13:01:22.219,3.2856
78,steady,2026-09-07 13:01:24.346,14.9662
79,steady,2026-09-07 13:01:26.463,7.1479
80,steady,2026-09-07 13:01:28.575,3.9396999999999998
81,steady,2026-09-07 13:01:30.696,7.681100000000001
82,steady,2026-09-07 13:01:32.810,6.474
83,steady,2026-09-07 13:01:34.941,8.1429
84,steady,2026-09-07 13:01:37.064,14.3698
85,steady,2026-09-07 13:01:39.167,3.4215
86,steady,2026-09-07 13:01:41.285,3.4652
87,steady,2026-09-07 13:01:43.393,3.1256
88,steady,2026-09-07 13:01:45.508,3.4657
89,steady,2026-09-07 13:01:47.631,3.8015
90,steady,2026-09-07 13:01:49.742,2.7072
91,steady,2026-09-07 13:01:51.857,3.5246
92,steady,2026-09-07 13:01:53.979,6.5705
93,steady,2026-09-07 13:01:56.087,4.4212
94,steady,2026-09-07 13:01:58.207,9.0652
95,steady,2026-09-07 13:02:00.325,8.699200000000001
96,steady,2026-09-07 13:02:02.428,3.4736
97,steady,2026-09-07 13:02:04.546,3.115
98,steady,2026-09-07 13:02:06.662,4.8238
99,steady,2026-09-07 13:02:08.783,3.0954
100,steady,2026-09-07 13:02:10.899,6.3063
101,steady,2026-09-07 13:02:13.027,12.3452
102,steady,2026-09-07 13:02:15.133,3.4018
103,steady,2026-09-07 13:02:17.247,7.0648
104,steady,2026-09-07 13:02:44.189,9.5325
105,steady,2026-09-07 13:02:46.295,5.8276
106,steady,2026-09-07 13:02:48.394,2.9774000000000003
107,steady,2026-09-07 13:02:50.512,9.416
108,steady,2026-09-07 13:02:52.630,4.7161
109,steady,2026-09-07 13:02:54.755,8.8774
110,steady,2026-09-07 13:02:56.865,6.1944
111,steady,2026-09-07 13:02:58.990,11.8615
112,steady,2026-09-07 13:03:01.119,9.0999
113,steady,2026-09-07 13:03:03.232,10.282399999999999
114,steady,2026-09-07 13:03:05.340,5.671
115,steady,2026-09-07 13:03:07.459,7.0995
