run,phase,ts,setup,prep,pureTcp,authAckRtt,keyReady,respAKE,hs2secrets,helloAuth,peer,peerTotal
1,cold,2026-09-10 14:52:48.667,14.9434,2.7711,11.007299999999999,17.4232,18.939700000000002,1.3682,18.9404,30.3285,30.4917,45.4351
2,warmup,2026-09-10 14:52:50.777,13.3844,2.4631999999999996,10.456,14.4615,15.7684,1.2421,15.768799999999999,26.8765,27.137900000000002,40.5223
3,warmup,2026-09-10 14:52:52.881,12.5036,1.8119,10.2943,13.7742,15.1168,1.2885,15.117299999999998,26.182599999999997,26.3382,38.841800000000006
4,warmup,2026-09-10 14:52:54.998,14.889,2.6795999999999998,10.7333,19.215700000000002,20.581400000000002,1.3120999999999998,20.5826,31.6966,31.952599999999997,46.841699999999996
5,warmup,2026-09-10 14:53:22.700,13.23,2.1033000000000004,10.5692,17.014200000000002,18.3803,1.2642,18.3807,29.5805,29.8461,43.076
6,warmup,2026-09-10 14:53:24.818,21.082099999999997,10.1259,10.4579,14.6183,16.1301,1.4270999999999998,16.1309,27.2155,27.4279,48.51
7,warmup,2026-09-10 14:53:52.239,18.6447,6.8785,10.578,17.339,18.654700000000002,1.2684000000000002,18.6553,30.0861,30.3566,49.0012
8,warmup,2026-09-10 14:53:54.356,13.6324,2.8981,10.4483,14.433,15.5195,1.0434,15.5198,26.513099999999998,26.711299999999998,40.3437
9,warmup,2026-09-10 14:54:22.231,18.855900000000002,8.0066,10.4385,14.6609,15.959100000000001,1.2477,15.9596,27.2345,27.4927,46.3486
10,warmup,2026-09-10 14:54:24.342,17.1331,6.0295,10.6311,16.857,18.5195,1.5545,18.5202,29.819,30.1851,47.3182
11,warmup,2026-09-10 14:54:52.165,14.721,3.3724000000000003,10.4124,14.548399999999999,15.8605,1.235,15.861,26.675900000000002,27.186,41.907
12,warmup,2026-09-10 14:54:54.281,13.013399999999999,1.9864000000000002,10.5969,18.2048,19.918400000000002,1.6417,19.9189,30.9488,31.1923,44.2057
13,warmup,2026-09-10 14:54:56.381,12.3644,1.5963,10.4677,13.371799999999999,17.6615,4.238,17.6627,28.5991,28.8696,41.234
