run,phase,ts,respAKE_ms
1,warmup,2026-09-04 17:27:26.327,4.6898
2,warmup,2026-09-04 17:27:28.442,4.1312
3,warmup,2026-09-04 17:27:30.574,4.212
4,warmup,2026-09-04 17:27:32.697,10.8526
5,warmup,2026-09-04 17:27:34.829,3.499
6,warmup,2026-09-04 17:27:36.979,7.2652
7,warmup,2026-09-04 17:27:39.095,4.3256000000000006
8,warmup,2026-09-04 17:27:41.208,4.0236
9,warmup,2026-09-04 17:27:43.330,5.8088
10,warmup,2026-09-04 17:27:45.456,7.5363999999999995
11,warmup,2026-09-04 17:27:47.569,3.1641
12,warmup,2026-09-04 17:27:49.697,5.984100000000001
13,warmup,2026-09-04 17:27:51.814,3.7996
14,warmup,2026-09-04 17:27:53.934,2.9755
15,warmup,2026-09-04 17:27:56.076,3.3344
16,steady,2026-09-04 17:27:58.192,8.3847
17,steady,2026-09-04 17:28:00.320,6.855899999999999
18,steady,2026-09-04 17:28:02.458,9.815700000000001
19,steady,2026-09-04 17:28:04.592,6.5268999999999995
20,steady,2026-09-04 17:28:06.741,2.6709
21,steady,2026-09-04 17:28:08.873,7.1081
22,steady,2026-09-04 17:28:11.014,3.6065
23,steady,2026-09-04 17:28:13.137,2.6027
24,steady,2026-09-04 17:28:15.281,16.3682
25,steady,2026-09-04 17:28:17.422,19.1869
26,steady,2026-09-04 17:28:19.556,7.4401
27,steady,2026-09-04 17:28:21.685,2.6363000000000003
28,steady,2026-09-04 17:28:23.943,8.9653
29,steady,2026-09-04 17:28:26.067,2.9593000000000003
30,steady,2026-09-04 17:28:28.198,4.3363000000000005
31,steady,2026-09-04 17:28:30.268,4.4307
32,steady,2026-09-04 17:28:32.326,2.8901
33,steady,2026-09-04 17:28:34.383,3.9829
34,steady,2026-09-04 17:28:36.504,2.6926
35,steady,2026-09-04 17:28:38.630,3.1144000000000003
36,steady,2026-09-04 17:28:40.742,3.6388000000000003
37,steady,2026-09-04 17:28:42.866,2.6569000000000003
38,steady,2026-09-04 17:28:44.939,5.1561
39,steady,2026-09-04 17:28:46.996,3.3815999999999997
40,steady,2026-09-04 17:28:49.115,4.9178999999999995
41,steady,2026-09-04 17:28:51.237,3.5965
42,steady,2026-09-04 17:28:53.354,7.3845
43,steady,2026-09-04 17:28:55.478,3.9769
44,steady,2026-09-04 17:28:57.607,4.2927
45,steady,2026-09-04 17:28:59.733,6.1446000000000005
46,steady,2026-09-04 17:29:01.856,2.8398000000000003
47,steady,2026-09-04 17:29:03.972,4.7904
48,steady,2026-09-04 17:29:06.118,3.1847
49,steady,2026-09-04 17:29:08.240,7.0057
50,steady,2026-09-04 17:29:10.374,3.8186999999999998
51,steady,2026-09-04 17:29:12.503,2.7738
52,steady,2026-09-04 17:29:14.558,2.3571999999999997
53,steady,2026-09-04 17:29:16.689,2.3167
54,steady,2026-09-04 17:29:18.810,2.7153
55,steady,2026-09-04 17:29:20.934,3.744
56,steady,2026-09-04 17:29:23.049,7.0809
57,steady,2026-09-04 17:29:25.173,3.2159
58,steady,2026-09-04 17:29:27.298,2.5431999999999997
59,steady,2026-09-04 17:29:29.359,3.1078
60,steady,2026-09-04 17:29:31.423,2.805
61,steady,2026-09-04 17:29:33.542,2.1021
62,steady,2026-09-04 17:29:35.664,2.2232
63,steady,2026-09-04 17:29:37.785,4.1423000000000005
64,steady,2026-09-04 17:29:39.899,3.7069
65,steady,2026-09-04 17:29:41.966,8.749799999999999
66,steady,2026-09-04 17:29:44.096,13.6462
67,steady,2026-09-04 17:30:11.615,4.0922
68,steady,2026-09-04 17:30:13.737,6.4783
69,steady,2026-09-04 17:30:41.532,4.4822
70,steady,2026-09-04 17:30:43.658,2.9388
71,steady,2026-09-04 17:31:11.033,6.147399999999999
72,steady,2026-09-04 17:31:13.165,2.6321
73,steady,2026-09-04 17:31:15.218,3.8279
74,steady,2026-09-04 17:31:17.332,2.6370999999999998
75,steady,2026-09-04 17:31:19.452,3.153
76,steady,2026-09-04 17:31:21.574,2.2043000000000004
77,steady,2026-09-04 17:31:23.618,2.9659
